theta,theta_dot
0.0,0.0
-0.002528317089232548,-0.049224747662690846
-0.00715166762098483,-0.04179111349913248
-0.00940872221588222,-0.002452022403677559
-0.005686629061203811,0.075955669946307
0.007164357818044974,0.17653548810030584
0.028524017393686662,0.24262862232511392
0.052179008948751625,0.2230483338551954
0.07089018571039045,0.14721437596135364
0.08182410654875834,0.06850150038536157
0.08381123842338499,-0.02834214800724776
0.07650172080969037,-0.11313169149499737
0.0633001551863747,-0.1482771945588217
0.04634709195228774,-0.18674325004337478
0.025902292798313287,-0.21462991795603423
0.005142419265232676,-0.1983235509431866
-0.01522473793252776,-0.20672261784262816
-0.037476412100588996,-0.22847457015414335
-0.058411205837402995,-0.18495555002019082
-0.07410387520469149,-0.1291530913916505
-0.08585170477873964,-0.10059577710730817
-0.09300886998985256,-0.03835522893807086
-0.09238825193685746,0.04750287678243826
-0.08466660097804041,0.10760518882370715
-0.07000957517558784,0.18025723451254633
-0.0494188333058707,0.22536177642631322
-0.02560552472597718,0.24868660318756738
0.0010868792528971039,0.27433102341447785
0.027538545772647808,0.2515920782743601
0.05197373275014395,0.22954253797592897
0.0726026855533544,0.17751958165728243
0.08697556945231892,0.10039763366889086
0.09096044599158873,-0.014675270363375237
0.08584050436900433,-0.0830968702035874
0.07531919574333006,-0.12213034944703703
0.06222818423533649,-0.13744355386080964
0.04782487461000421,-0.14938427218818923
0.03214492437601527,-0.15726853302794758
0.017383981646603052,-0.12829878632062805
0.007902613996771458,-0.0636920817535847
0.003867691666694035,-0.012303657217721824
0.006138648819843988,0.054154945708718746
0.013942214123629032,0.0937748939773183
0.023541105647896098,0.09297474418512511
0.03188659979562933,0.0739387692376119
0.03864592159961224,0.06635468578390397
0.04600182050390022,0.06831795670882403
0.050579267018132944,0.029931448015483787
0.0530806588401074,0.01352853237000237
0.052357326570478244,-0.02762111633868374
0.047568370150640006,-0.07212365048971811
0.0372288374514445,-0.13883781656192537
0.019183073791517517,-0.2158182135755974
-0.0050714368494086375,-0.2545444483700265
-0.03005742981047742,-0.24005591232933554
-0.05262504870629016,-0.19889115667203755
-0.06850134178560917,-0.10988618785907586
-0.0737242386268991,0.012190081905114983
-0.06547139737448458,0.15186565098112526
-0.043728097729356624,0.2720418764257077
-0.012276007414859113,0.35128902379534194
0.02579657733065043,0.39101275453103834
0.06407822048307465,0.3664738398556031
0.09837182931466802,0.3047612153507374
0.1236043126477563,0.18479656731783325
0.13429192414480742,0.032879935911389754
0.13089946817383336,-0.09887418384736314
0.11494786786651871,-0.21455831044164894
0.08854168951115834,-0.3116020999056801
0.0529753770479996,-0.3880989130213265
0.011797864872579937,-0.4336306111288436
-0.033641952061250494,-0.46605575460021326
-0.08047136596513466,-0.45348918792264403
-0.1225715229267256,-0.3647350763211484
-0.15185630741932946,-0.22155559691841434
-0.16708970966040024,-0.07618577347078066
-0.16677234163863192,0.0832609934188795
-0.15076879411522587,0.22962874242506168
-0.12180235029710751,0.3386543230569611
-0.08434350755121385,0.39414745432431125
-0.04419166071013793,0.4037013650781028
-0.004378542879128795,0.3745952069530649
0.029323383990399018,0.2887924623498656
0.05273698386225134,0.17490097077790057
0.06436172466982537,0.06139518972589075
0.0653756076792198,-0.04272143046044699
0.05591806058539572,-0.14371039646308598
0.037598261093685845,-0.2037429611107179
0.016248176097783545,-0.22537971074569563
-0.00786833771060941,-0.26145303644952755
-0.035984116302148136,-0.29117126826642553
-0.06476430839457299,-0.2643001448855028
-0.08710571033765661,-0.16621834982416173
-0.09711266505687285,-0.030880489953212215
-0.09375606885797143,0.08699726636688622
-0.08083291354147411,0.16195419109359682
-0.062291304797647995,0.2001871426794715
-0.040975039034511794,0.23102004353055758
-0.01625556768895865,0.2535694002879609
0.009096686806457532,0.24902185598562998
0.03352884090536457,0.24163522980121313
0.057457636564892764,0.2338388035603149
0.08035198729668275,0.22607063416090922
0.10222527231415256,0.19971765198336228
0.11954050209845271,0.14088298582190664
0.1296465550475918,0.05071855844720184
0.12909713885271937,-0.06521141511224607
0.1167212030383235,-0.1785323958171215
0.09466983730789715,-0.24380662225042152
0.06850182905484872,-0.2823296330058121
0.038958378382210695,-0.2930759652589397
0.01131335527187247,-0.24530491750117187
-0.009627693409510415,-0.17293669329558967
-0.023925005198231708,-0.12137743441139479
-0.034502451483938,-0.09311617483748282
-0.04238195755615342,-0.059684250912899285
-0.04595838705346063,-0.006944869825959339
-0.04335351705724702,0.06264594554362234
-0.03315745320007684,0.14301133684557793
-0.015407172511623416,0.2017093024667681
0.005728064428728068,0.20527061242549807
0.02399322916442835,0.14411702459099032
0.03386255300949999,0.04990088628095156
0.03392474544235074,-0.048453207684392915
0.02427816312414093,-0.142937845605218
0.005199704774275681,-0.23953886170361283
-0.022653309590479502,-0.3040074955350581
-0.054844723287686255,-0.33308368048977416
-0.08780434537499252,-0.30926684386117775
-0.11621604366987912,-0.2560881626751401
-0.13752317253938298,-0.1530388211305153
-0.14600771541250587,-0.01189598363507494
-0.14016709488024237,0.12450107549348326
-0.12239483610610756,0.21781981372894643
-0.09708077361977022,0.28450802629303756
-0.06537990937954219,0.34814574220632255
-0.02739589877002123,0.4082513235759596
0.01500344998888926,0.42449796098406006
0.05651051893824679,0.3954080927036742
0.09199999157009629,0.2946152794552117
0.11584466750904239,0.18655039443723023
0.12928786572304704,0.07986035308382891
0.1307248721960549,-0.05937052694742224
0.11745275118855923,-0.2026250539384893
0.09202584890443613,-0.28932036098156305
0.061013033193213814,-0.31878484049221517
0.030009314078974104,-0.2864601713582316
0.0043346867770941815,-0.22137306750773902
-0.015043133086985197,-0.16965892610883573
-0.028814437039376382,-0.09844545555712883
-0.034368825297961654,-0.01057503758693874
-0.03227908741153229,0.04319227554642557
-0.027341850646045773,0.04586513004171941
-0.023849153034118834,0.020044552376368225
-0.02247310442866554,0.012632285824935249
-0.020210820722185503,0.03799849781393222
-0.013613865961327912,0.09913172270160678
-0.0014181381917415014,0.13679569085877724
0.013502710887965085,0.15843083733959537
0.030705308762548775,0.1850825304548751
0.05115695998491592,0.22349715898962405
0.07271212023094135,0.19146066690273456
0.08833478174350302,0.1145034624064887
0.09583418612646388,0.03589133987153837
0.0955318913165622,-0.041421936382069355
0.08867163147919334,-0.08968938312674206
0.07832936398035338,-0.11247870864357538
0.06604048461507303,-0.13163185043742595
0.05258870218191971,-0.13277216285688417
0.03906931512288007,-0.13667818940983406
0.025229840354717425,-0.13755838636624668
0.012434523354424,-0.11318516257095214
0.0023296621195282607,-0.08805104685710478
-0.0035863795815089124,-0.024677276262003573
-0.0036441785901912497,0.020093097016603292
0.0012870375156417244,0.07958610238970582
0.0123917394397603,0.1401034068234913
0.027158926139231473,0.14669861476207743
0.04174074232122813,0.14203599005889725
0.054863096420431946,0.11620909798718643
0.06549535587612568,0.09544238078800436
0.07317357423207178,0.0551425915313132
0.07681553019743316,0.017751292880827538
0.07456025129102335,-0.06566993039552474
0.06338074112569546,-0.15521899895123545
0.045219727018336486,-0.20082572549260072
0.024197922308088777,-0.2132490063978208
0.0016921028878715224,-0.23267845208964985
-0.02350795154245762,-0.26658333838874243
-0.04962835274108377,-0.24748472009991487
-0.07137737632131679,-0.18112444338184028
-0.08593899810070402,-0.10724282900988659
-0.09331720110908671,-0.03945426856686083
-0.09304513787515234,0.044710118684196325
-0.08447088655366901,0.12393486607719228
-0.06829457926159521,0.19491340165189486
-0.04563295539547862,0.2520158175157699
-0.019599186468563512,0.26136995845090155
0.005516220746882193,0.23441125953482694
0.02540975579625533,0.15869058950210346
